experiment,image_size,epochs,game6_macro_f1,game6_accuracy,training_time_sec,g8_image_only,g8_logistic_stack,g8_stack_average,total_sec
I06_size192_ep12,192,12,0.8653579459008227,0.8656,383.06163260000176,0.7214540616208394,0.9251925192519252,0.9295971162978836,637.4911785000004
I04_size160_ep12,160,12,0.8681674473771733,0.8684,378.2833232000121,0.7231224789573084,0.9239805390179886,0.9283903642074078,565.8384471999889
I05_size192_ep6,192,6,0.827780108997848,0.8292,224.9765855000005,0.6984339740435064,0.9215967886044611,0.9239999513599688,418.5946339999937
